fatalities_85_99,fatalities_00_14,airline
535,225,China Airlines
520,0,Japan Airlines
425,0,Korean Air
407,51,Delta / Northwest*
329,158,Air India*
323,0,Avianca
319,109,United / Continental*
313,0,Saudi Arabian
308,1,Thai Airways
282,14,Egyptair
260,22,Garuda Indonesia
234,46,Pakistan International
229,0,SWISS*
224,23,US Airways / America West*
171,0,Vietnam Airlines
167,92,Ethiopian Airlines
159,0,South African
148,0,Iberia
128,88,Aeroflot*
101,416,American*
98,188,TAM
82,0,Xiamen Airlines
79,337,Air France
74,1,Philippine Airlines
64,0,Aeromexico*
64,84,Turkish Airlines
51,0,Royal Air Maroc
50,0,Alitalia
47,0,COPA
34,537,Malaysia Airlines
21,0,LAN Airlines
16,0,Condor
14,0,Sri Lankan / AirLanka
6,83,Singapore Airlines
4,0,El Al
3,0,KLM*
3,3,TACA
2,0,Lufthansa*
1,0,All Nippon Airways
0,0,Aer Lingus
0,0,Aerolineas Argentinas
0,0,Air Canada
0,7,Air New Zealand*
0,88,Alaska Airlines*
0,0,Austrian Airlines
0,0,British Airways*
0,0,Cathay Pacific*
0,0,Finnair
0,143,Gulf Air
0,0,Hawaiian Airlines
0,283,Kenya Airways
0,0,Qantas*
0,110,SAS*
0,0,Southwest Airlines
0,0,TAP - Air Portugal
0,0,Virgin Atlantic
